Item,FN,MW,FT,WW,BS
M249_Magma,35136,35138,35137,35139,35135
M249_Midnight_Palm,871169,871194,871070,871150,871538
M249_Nebula_Crusader,35141,35143,35142,35144,35140
M249_O.S.I.P.R.,857528,857583,857517,857664,857523
M249_Predator,835708,835571,835339,835698,835447
M249_Shipping_Forecast,35146,35148,35147,35149,35145
M249_Spectre,35151,35153,35152,35154,35150
M249_Submerged,927348,927315,927285,927332,927325
M249_System_Lock,35156,35157,33843,35158,35155
M249_Warbird,775273,774991,775044,775733,775048
M4A1-S_Atomic_Alloy,35160,35162,35161,35163,35159
M4A1-S_Basilisk,35165,35167,35166,35168,35164
M4A1-S_Black_Lotus,956525,956574,956508,956641,956599
M4A1-S_Blood_Tiger,35169,35171,35170,Null,Null
M4A1-S_Blue_Phosphor,835547,835970,Null,Null,Null
M4A1-S_Boreal_Forest,35173,35175,35174,35176,35172
M4A1-S_Briefing,35178,35180,35179,35181,35177
M4A1-S_Bright_Water,Null,35183,35182,Null,Null
M4A1-S_Chantico's_Fire,35185,35187,35186,35188,35184
M4A1-S_Control_Panel,762249,762231,762120,762204,762203
M4A1-S_Cyrex,35190,35192,35191,35193,35189
M4A1-S_Dark_Water,Null,35195,35194,Null,Null
M4A1-S_Decimator,35197,35199,35198,35200,35196
M4A1-S_Emphorosaur-S,921513,921444,921435,921574,921463
M4A1-S_Fizzy_POP,871262,871468,871121,871694,871487
M4A1-S_Flashback,35202,35204,35203,35205,35201
M4A1-S_Golden_Coil,35207,35209,35208,35210,35206
M4A1-S_Guardian,35212,35214,35213,35215,35211
M4A1-S_Hot_Rod,35216,35217,Null,Null,Null
M4A1-S_Hyper_Beast,35219,35221,35220,35222,35218
M4A1-S_Icarus_Fell,35223,35224,Null,Null,Null
M4A1-S_Imminent_Danger,872127,872120,872044,872132,872040
M4A1-S_Knight,35225,35226,Null,Null,Null
M4A1-S_Leaded_Glass,35228,35230,35229,35231,35227
M4A1-S_Master_Piece,35233,35235,35234,35236,35232
M4A1-S_Mecha_Industries,35238,35240,35239,35241,35237
M4A1-S_Moss_Quartz,774977,774940,774957,776023,776035
M4A1-S_Mud-Spec,927335,927324,927292,927342,927346
M4A1-S_Night_Terror,886949,886650,886642,887042,887017
M4A1-S_Nightmare,759260,759261,759220,759262,759259
M4A1-S_Nitro,35243,35245,35244,35246,35242
M4A1-S_Player_Two,779333,779233,779198,779353,779325
M4A1-S_Printstream,835780,835800,835624,835932,835645
M4A1-S_VariCamo,35248,35250,35249,35251,35247
M4A1-S_Welcome_to_the_Jungle,836236,835965,835885,835909,836075
M4A4_Asiimov,Null,Null,35253,35254,35252
M4A4_Bullet_Rain,35256,35258,35257,35259,35255
M4A4_Buzz_Kill,35261,35263,35262,35264,35260
M4A4_Converter,762121,762123,762122,762124,Null
M4A4_Cyber_Security,835822,835770,835603,835699,835606
M4A4_Dark_Blossom,775558,774944,774951,775905,776067
M4A4_Daybreak,35266,35268,35267,35269,35265
M4A4_Desert-Strike,35276,35278,35277,35279,35275
M4A4_Desert_Storm,35271,35273,35272,35274,35270
M4A4_Desolate_Space,35281,35283,35282,35284,35280
M4A4_Etch_Lord,956522,956461,956507,956526,956561
M4A4_Evil_Daimyo,35286,35287,33811,35288,35285
M4A4_Eye_of_Horus,927372,927388,927366,927393,927395
M4A4_Faded_Zebra,35290,35292,35291,35293,35289
M4A4_Global_Offensive,835595,835412,835421,835758,835632
M4A4_Griffin,35295,35297,35296,35298,35294
M4A4_Hellfire,35300,35302,35301,35303,35299
M4A4_Howl,44717,35305,35304,35306,Null
M4A4_In_Living_Color,857690,857611,857610,857716,857609
M4A4_Jungle_Tiger,35308,35310,35309,35311,35307
M4A4_Magnesium,763320,763248,763271,763276,763260
M4A4_Mainframe,762102,762064,762091,762176,762125
M4A4_Modern_Hunter,35313,35315,35314,35316,35312
M4A4_Neo-Noir,45261,45385,45262,45263,45384
M4A4_Poly_Mag,900613,900513,900512,900515,900550
M4A4_Poseidon,35317,35319,35318,Null,Null
M4A4_Radiation_Hazard,35321,35323,35322,35324,35320
M4A4_Red_DDPAT,871610,871569,871476,871683,871768
M4A4_Royal_Paladin,35326,35328,35327,35329,35325
M4A4_Spider_Lily,871546,871327,871502,871438,871098
M4A4_Temukau,921562,921527,921569,921603,921542
M4A4_The_Battlestar,35331,35333,35332,35334,35330
M4A4_The_Coalition,871115,871106,871107,871141,871235
M4A4_The_Emperor,769584,769583,769572,769575,769574
M4A4_Tooth_Fairy,781560,781559,781564,781686,781590
M4A4_Tornado,35336,35338,35337,35339,35335
M4A4_Urban_DDPAT,35341,35343,35342,35344,35340
M4A4_X-Ray,35345,35347,35346,Null,Null
M4A4_Zirka,35348,35350,35349,35351,Null
